amount.sum,amount_type.code,demarcation.code,financial_year_end.year
48259420.0,AUDA,EC138,2022
48068615.0,ADJB,EC138,2023
23721914.0,AUDA,EC138,2023
96196934.0,ADJB,EC138,2024
45696318.0,AUDA,EC138,2024
145974444.0,ADJB,EC139,2020
69872837.0,AUDA,EC139,2020
143657101.0,ADJB,EC139,2021
130922041.0,AUDA,EC139,2021
240570305.0,ADJB,EC139,2022
140540878.0,AUDA,EC139,2022
344052220.0,ADJB,EC139,2023
182896483.0,AUDA,EC139,2023
276944906.0,ADJB,EC139,2024
204076595.0,AUDA,EC139,2024
130860438.0,ADJB,EC141,2020
106947911.0,AUDA,EC141,2020
156662194.0,ADJB,EC141,2021
105674941.0,AUDA,EC141,2021
192909540.0,ADJB,EC141,2022
137717714.0,AUDA,EC141,2022
187824598.0,ADJB,EC141,2023
115406170.0,AUDA,EC141,2023
202173014.0,ADJB,EC141,2024
115050011.0,AUDA,EC141,2024
104997933.0,ADJB,EC142,2020
70751038.0,AUDA,EC142,2020
198759872.0,ADJB,EC142,2021
47553442.0,AUDA,EC142,2021
118491565.0,ADJB,EC142,2022
119503514.0,ADJB,EC142,2023
66107830.0,AUDA,EC142,2023
172489163.0,ADJB,EC142,2024
110532139.0,AUDA,EC142,2024
43318668.0,ADJB,EC145,2020
36810182.0,AUDA,EC145,2020
55515365.0,ADJB,EC145,2021
99921703.0,AUDA,EC145,2021
72383855.0,ADJB,EC145,2022
119555930.0,AUDA,EC145,2022
63909144.0,ADJB,EC145,2023
136165326.0,AUDA,EC145,2023
66826510.0,ADJB,EC145,2024
158383822.0,AUDA,EC145,2024
207972149.0,ADJB,EC153,2020
148756412.0,AUDA,EC153,2020
278597410.0,ADJB,EC153,2021
200497499.0,AUDA,EC153,2021
287695665.0,ADJB,EC153,2022
186535661.0,AUDA,EC153,2022
239642366.0,ADJB,EC153,2023
176661888.0,AUDA,EC153,2023
229134171.0,ADJB,EC153,2024
163488742.0,AUDA,EC153,2024
156286042.0,ADJB,EC154,2020
87042660.0,AUDA,EC154,2020
190896512.0,ADJB,EC154,2021
205706182.0,AUDA,EC154,2021
186476795.0,ADJB,EC154,2022
166783838.0,AUDA,EC154,2022
179189986.0,ADJB,EC154,2023
89492491.0,AUDA,EC154,2023
238032392.0,ADJB,EC154,2024
168196066.0,AUDA,EC154,2024
178385765.0,ADJB,EC155,2020
330991604.0,AUDA,EC155,2020
211035513.0,ADJB,EC155,2021
184896313.0,AUDA,EC155,2021
226889558.0,ADJB,EC155,2022
261612523.0,AUDA,EC155,2022
249621285.0,ADJB,EC155,2023
138469695.0,AUDA,EC155,2023
410930023.0,ADJB,EC155,2024
220936201.0,AUDA,EC155,2024
202902086.0,ADJB,EC156,2020
173116695.0,AUDA,EC156,2020
156518465.0,ADJB,EC156,2021
120006179.0,AUDA,EC156,2021
171126729.0,ADJB,EC156,2022
91307175.0,AUDA,EC156,2022
187046592.0,ADJB,EC156,2023
64687198.0,AUDA,EC156,2023
245498486.0,ADJB,EC156,2024
158715729.0,AUDA,EC156,2024
440124635.0,ADJB,EC157,2020
472557983.0,AUDA,EC157,2020
452690913.0,ADJB,EC157,2021
182599685.0,AUDA,EC157,2021
341344989.0,ADJB,EC157,2022
398122092.0,AUDA,EC157,2022
558837969.0,ADJB,EC157,2023
480403483.0,AUDA,EC157,2023
657702821.0,ADJB,EC157,2024
569847450.0,AUDA,EC157,2024
240983014.0,ADJB,EC441,2020
254119238.0,AUDA,EC441,2020
247515685.0,ADJB,EC441,2021
209855288.0,AUDA,EC441,2021
332489520.0,ADJB,EC441,2022
261783076.0,AUDA,EC441,2022
270919140.0,ADJB,EC441,2023
209678999.0,AUDA,EC441,2023
252922213.0,ADJB,EC441,2024
210765046.0,AUDA,EC441,2024
226504776.0,ADJB,EC442,2020
216483249.0,AUDA,EC442,2020
308266507.0,ADJB,EC442,2021
291737782.0,AUDA,EC442,2021
266901129.0,ADJB,EC442,2022
231695970.0,AUDA,EC442,2022
323821639.0,ADJB,EC442,2023
234050038.0,AUDA,EC442,2023
504283435.0,ADJB,EC442,2024
261630275.0,AUDA,EC442,2024
185969428.0,ADJB,EC443,2020
137751776.0,AUDA,EC443,2020
245570416.0,ADJB,EC443,2021
187225233.0,AUDA,EC443,2021
282124518.0,ADJB,EC443,2022
223239604.0,AUDA,EC443,2022
248218866.0,ADJB,EC443,2023
201279763.0,AUDA,EC443,2023
251943382.0,ADJB,EC443,2024
174596783.0,AUDA,EC443,2024
109255283.0,ADJB,EC444,2020
482503690.0,AUDA,EC444,2020
96224530.0,ADJB,EC444,2021
521681287.0,AUDA,EC444,2021
107195060.0,ADJB,EC444,2022
559064371.0,AUDA,EC444,2022
