amount.sum,demarcation.code,financial_year_end.year
-196278882.0,LIM473,2023
-240909274.0,LIM473,2024
94178554.0,LIM476,2020
213363199.0,LIM476,2021
740310393.0,LIM476,2022
397432871.0,LIM476,2023
311196142.0,LIM476,2024
127986225.0,MAN,2020
1239625217.0,MAN,2021
3442910716.0,MAN,2022
5123179936.0,MAN,2023
7454367288.0,MAN,2024
669605420.0,MP301,2020
-284108610.0,MP301,2021
-133285234.0,MP301,2022
-158432670.0,MP301,2023
192640259.0,MP301,2024
24780245.0,MP302,2020
267567339.0,MP302,2021
928256839.0,MP302,2022
1166411656.0,MP302,2023
611331147.0,MP302,2024
586393765.0,MP303,2020
26437606.0,MP303,2022
-290342093.0,MP303,2023
-201162128.0,MP303,2024
379242064.0,MP304,2020
281510966.0,MP304,2021
169742294.0,MP304,2022
97702682.0,MP304,2023
12222379.0,MP304,2024
1119102177.0,MP305,2020
1143599727.0,MP305,2021
498982448.0,MP305,2022
358198835.0,MP305,2023
335170816.0,MP305,2024
283862133.0,MP306,2020
-14457407.0,MP306,2021
95272938.0,MP306,2022
42443218.0,MP306,2023
8266905.0,MP306,2024
3703767676.0,MP307,2020
2272839286.0,MP307,2021
964511027.0,MP307,2022
977644755.0,MP307,2023
781054916.0,MP307,2024
662579193.0,MP311,2020
-129084273.0,MP311,2021
68293105.0,MP311,2022
167052870.0,MP311,2023
142073710.0,MP311,2024
-2208353465.0,MP312,2020
-2219228200.0,MP312,2021
431437006.0,MP312,2022
319562050.0,MP312,2023
1203249064.0,MP313,2020
817595494.0,MP313,2021
965696531.0,MP313,2022
951781929.0,MP313,2023
435531485.0,MP313,2024
375515480.0,MP314,2020
157960839.0,MP314,2021
78626317.0,MP314,2022
132863373.0,MP314,2023
176456475.0,MP314,2024
412512939.0,MP315,2020
429513390.0,MP315,2021
330017500.0,MP315,2022
212272080.0,MP315,2023
352215062.0,MP315,2024
643483769.0,MP316,2020
473088022.0,MP316,2021
411447381.0,MP316,2022
574794662.0,MP316,2023
367706761.0,MP316,2024
262476972.0,MP321,2020
444719546.0,MP321,2021
67283539.0,MP321,2022
-173562729.0,MP321,2023
-112631185.0,MP321,2024
205834029.0,MP324,2020
1292831485.0,MP324,2021
2034537582.0,MP324,2022
2703169803.0,MP324,2023
1767391755.0,MP324,2024
385684.0,MP325,2020
5382134.0,MP325,2022
-595998395.0,MP325,2023
23508820.0,MP325,2024
126593704.0,MP326,2020
-1057653431.0,MP326,2021
-3169730695.0,MP326,2022
-525222970.0,MP326,2023
-3377992979.0,MP326,2024
-919008.0,NC061,2020
-17894206.0,NC061,2021
-14329912.0,NC061,2022
-13990892.0,NC061,2023
-47101168.0,NC061,2024
375057341.0,NC062,2020
637581296.0,NC062,2021
193103846.0,NC062,2022
61100250.0,NC062,2023
-81018129.0,NC062,2024
2453473.0,NC064,2020
89492882.0,NC064,2021
35332700.0,NC064,2022
2670092.0,NC064,2023
-6240543.0,NC064,2024
-2690227.0,NC065,2020
129791976.0,NC065,2021
-4242919.0,NC065,2022
19500229.0,NC065,2023
-13630116.0,NC065,2024
46068913.0,NC066,2020
29170754.0,NC066,2021
73062285.0,NC066,2022
597408312.0,NC066,2023
96913913.0,NC066,2024
1180495.0,NC067,2020
-8407371.0,NC067,2021
2728915.0,NC067,2022
-759396.0,NC067,2023
-8675853.0,NC067,2024
24610385.0,NC071,2020
12511902.0,NC071,2021
1520279.0,NC071,2022
976249361.0,NC071,2023
859039483.0,NC071,2024
-7569153.0,NC072,2020
3412261.0,NC072,2021
-115419232.0,NC072,2022
119623641.0,NC072,2023
3858892.0,NC072,2024
49137768.0,NC073,2020
-695822753.0,NC073,2021
-134380311.0,NC073,2022
114560950.0,NC073,2024
80253719.0,NC074,2020
86909978.0,NC074,2021
148544333.0,NC074,2022
673801.0,NC075,2020
2707315.0,NC075,2022
127674637.0,NC075,2023
72428274.0,NC075,2024
-3650798.0,NC076,2020
54549840.0,NC076,2021
109509233.0,NC076,2022
