amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
1523973457.0,DC27,2022,irregular,Irregular Expenditure
48676681.0,DC27,2022,unauthorised,Unauthorised Expenditure
865960.0,DC27,2023,fruitless,Fruitless and Wasteful Expenditure
336284168.0,DC27,2023,irregular,Irregular Expenditure
143490132.0,DC27,2023,unauthorised,Unauthorised Expenditure
3201308.0,DC27,2024,fruitless,Fruitless and Wasteful Expenditure
1183039160.0,DC27,2024,irregular,Irregular Expenditure
171829616.0,DC27,2024,unauthorised,Unauthorised Expenditure
0.0,DC28,2019,fruitless,Fruitless and Wasteful Expenditure
6917532.0,DC28,2019,irregular,Irregular Expenditure
21501205.0,DC28,2019,unauthorised,Unauthorised Expenditure
14685.0,DC28,2020,fruitless,Fruitless and Wasteful Expenditure
124686471.0,DC28,2020,irregular,Irregular Expenditure
10475709.0,DC28,2020,unauthorised,Unauthorised Expenditure
887464.0,DC28,2021,fruitless,Fruitless and Wasteful Expenditure
30929093.0,DC28,2021,irregular,Irregular Expenditure
20033993.0,DC28,2021,unauthorised,Unauthorised Expenditure
0.0,DC28,2022,fruitless,Fruitless and Wasteful Expenditure
22652636.0,DC28,2022,irregular,Irregular Expenditure
0.0,DC28,2022,unauthorised,Unauthorised Expenditure
0.0,DC28,2023,fruitless,Fruitless and Wasteful Expenditure
0.0,DC28,2023,irregular,Irregular Expenditure
0.0,DC28,2023,unauthorised,Unauthorised Expenditure
0.0,DC28,2024,fruitless,Fruitless and Wasteful Expenditure
0.0,DC28,2024,irregular,Irregular Expenditure
0.0,DC28,2024,unauthorised,Unauthorised Expenditure
0.0,DC29,2019,fruitless,Fruitless and Wasteful Expenditure
421895607.0,DC29,2019,irregular,Irregular Expenditure
0.0,DC29,2019,unauthorised,Unauthorised Expenditure
0.0,DC29,2020,fruitless,Fruitless and Wasteful Expenditure
150454923.0,DC29,2020,irregular,Irregular Expenditure
0.0,DC29,2020,unauthorised,Unauthorised Expenditure
4375888.0,DC29,2021,fruitless,Fruitless and Wasteful Expenditure
38465190.0,DC29,2021,irregular,Irregular Expenditure
0.0,DC29,2021,unauthorised,Unauthorised Expenditure
7377483.0,DC29,2022,fruitless,Fruitless and Wasteful Expenditure
48119806.0,DC29,2022,irregular,Irregular Expenditure
0.0,DC29,2022,unauthorised,Unauthorised Expenditure
0.0,DC29,2023,fruitless,Fruitless and Wasteful Expenditure
6347547.0,DC29,2023,irregular,Irregular Expenditure
0.0,DC29,2023,unauthorised,Unauthorised Expenditure
0.0,DC29,2024,fruitless,Fruitless and Wasteful Expenditure
496000.0,DC29,2024,irregular,Irregular Expenditure
0.0,DC29,2024,unauthorised,Unauthorised Expenditure
0.0,DC3,2019,fruitless,Fruitless and Wasteful Expenditure
16996911.0,DC3,2019,irregular,Irregular Expenditure
16424967.0,DC3,2019,unauthorised,Unauthorised Expenditure
20866.0,DC3,2020,fruitless,Fruitless and Wasteful Expenditure
5506014.0,DC3,2020,irregular,Irregular Expenditure
0.0,DC3,2020,unauthorised,Unauthorised Expenditure
0.0,DC3,2021,fruitless,Fruitless and Wasteful Expenditure
6858060.0,DC3,2021,irregular,Irregular Expenditure
3632595.0,DC3,2021,unauthorised,Unauthorised Expenditure
0.0,DC3,2022,fruitless,Fruitless and Wasteful Expenditure
2531180.0,DC3,2022,irregular,Irregular Expenditure
1416437.0,DC3,2022,unauthorised,Unauthorised Expenditure
0.0,DC3,2023,fruitless,Fruitless and Wasteful Expenditure
3746457.0,DC3,2023,irregular,Irregular Expenditure
0.0,DC3,2023,unauthorised,Unauthorised Expenditure
0.0,DC3,2024,fruitless,Fruitless and Wasteful Expenditure
14048830.0,DC3,2024,irregular,Irregular Expenditure
0.0,DC3,2024,unauthorised,Unauthorised Expenditure
0.0,DC30,2019,fruitless,Fruitless and Wasteful Expenditure
0.0,DC30,2019,irregular,Irregular Expenditure
0.0,DC30,2019,unauthorised,Unauthorised Expenditure
0.0,DC30,2020,fruitless,Fruitless and Wasteful Expenditure
0.0,DC30,2020,irregular,Irregular Expenditure
0.0,DC30,2020,unauthorised,Unauthorised Expenditure
0.0,DC30,2021,fruitless,Fruitless and Wasteful Expenditure
0.0,DC30,2021,irregular,Irregular Expenditure
0.0,DC30,2021,unauthorised,Unauthorised Expenditure
0.0,DC30,2022,fruitless,Fruitless and Wasteful Expenditure
0.0,DC30,2022,irregular,Irregular Expenditure
0.0,DC30,2022,unauthorised,Unauthorised Expenditure
25623747.0,DC30,2023,fruitless,Fruitless and Wasteful Expenditure
62862689.0,DC30,2023,irregular,Irregular Expenditure
0.0,DC30,2023,unauthorised,Unauthorised Expenditure
0.0,DC30,2024,fruitless,Fruitless and Wasteful Expenditure
67939757.0,DC30,2024,irregular,Irregular Expenditure
0.0,DC30,2024,unauthorised,Unauthorised Expenditure
0.0,DC31,2019,fruitless,Fruitless and Wasteful Expenditure
330825.0,DC31,2019,irregular,Irregular Expenditure
0.0,DC31,2019,unauthorised,Unauthorised Expenditure
34500.0,DC31,2020,fruitless,Fruitless and Wasteful Expenditure
2613097.0,DC31,2020,irregular,Irregular Expenditure
0.0,DC31,2020,unauthorised,Unauthorised Expenditure
0.0,DC31,2021,fruitless,Fruitless and Wasteful Expenditure
1052188.0,DC31,2021,irregular,Irregular Expenditure
0.0,DC31,2021,unauthorised,Unauthorised Expenditure
8344.0,DC31,2022,fruitless,Fruitless and Wasteful Expenditure
0.0,DC31,2022,irregular,Irregular Expenditure
0.0,DC31,2022,unauthorised,Unauthorised Expenditure
261669.0,DC31,2023,fruitless,Fruitless and Wasteful Expenditure
0.0,DC31,2023,irregular,Irregular Expenditure
0.0,DC31,2023,unauthorised,Unauthorised Expenditure
277658.0,DC31,2024,fruitless,Fruitless and Wasteful Expenditure
0.0,DC31,2024,irregular,Irregular Expenditure
0.0,DC31,2024,unauthorised,Unauthorised Expenditure
